bin_size,dropout,lr,n_glayers_id,n_glayers_reg,output_dim,weight_decay,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12,loss_13,loss_14,loss_15,loss_16,loss_17,loss_18,loss_19,loss_20,loss_21,loss_22,loss_23,loss_24,loss_25,loss_26,loss_27,loss_28,loss_29,loss_30,loss_31,loss_32,loss_33,loss_34,loss_35,loss_36,loss_37,loss_38,loss_39,loss_40,loss_41,loss_42,loss_43,loss_44,loss_45,loss_46,loss_47,loss_48,loss_49,loss_50,loss_51,loss_52,loss_53,loss_54,loss_55,loss_56,loss_57,loss_58,loss_59,loss_60,loss_61,loss_62,loss_63,loss_64,loss_65,loss_66,loss_67,loss_68,loss_69,loss_70,loss_71,loss_72,loss_73,loss_74,loss_75,loss_76,loss_77,loss_78,loss_79,loss_80,loss_81,loss_82,loss_83,loss_84,loss_85,loss_86,loss_87,loss_88,loss_89,loss_90,loss_91,loss_92,loss_93,loss_94,loss_95,loss_96,loss_97,loss_98,loss_99
64.0,0.44938534523646245,0.009435024754213307,0.0,3.0,256.0,4.403279007933802e-05,484.08880615234375,459.301513671875,455.34381103515625,453.7110290527344,452.5845642089844,451.8967895507813,451.8824768066406,451.5779113769531,450.9302062988281,450.7672119140625,450.9051208496094,451.1274108886719,450.6013488769531,450.6413879394531,450.2364501953125,450.156494140625,450.4876708984375,451.1265563964844,450.373046875,450.2265625,450.1159973144531,449.9952087402344,449.9211120605469,449.8259582519531,449.77532958984375,450.0407104492188,449.783447265625,449.6271667480469,449.6344299316406,449.60296630859375,449.5779113769531,449.6590270996094,449.39404296875,449.2244262695313,449.3357238769531,449.1921691894531,449.05615234375,449.1322021484375,449.1861267089844,449.3948059082031,448.82568359375,448.6543273925781,449.1251525878906,448.8574523925781,448.6279296875,448.3724060058594,448.209716796875,448.314453125,448.4325866699219,447.9747924804688,448.0025634765625,447.889404296875,447.855712890625,447.993408203125,447.9020080566406,449.5613708496094,450.4867248535156,448.45458984375,448.344970703125,447.9425659179688,448.0779113769531,448.2173461914063,448.0237121582031,447.93896484375,447.8456726074219,447.7976379394531,447.821044921875,447.9959106445313,447.91595458984375,448.0703125,447.8229675292969,447.8088073730469,447.6146545410156,447.667236328125,447.76416015625,447.4660034179688,447.5580139160156,447.4468383789063,447.50982666015625,447.6129455566406,447.4832458496094,447.4291687011719,447.37896728515625,448.9337158203125,448.1252136230469,447.9303894042969,447.8806457519531,447.6816711425781,447.5806274414063,447.6280517578125,447.4296875,447.6193542480469,447.439208984375,447.4046325683594,447.56640625,447.3130493164063,447.3984069824219,447.4146728515625,447.2280883789063,447.5011596679688
64.0,0.089147943159818,3.854623092970313e-05,4.0,2.0,32.0,0.001983837303524502,533.9158935546875,530.3726196289062,531.8937377929688,532.2639770507812,531.64111328125,530.4598388671875,528.9349365234375,524.5094604492188,512.0517578125,505.8814086914063,506.19183349609375,510.523193359375,514.8209838867188,516.731201171875,518.9213256835938,520.7993774414062,525.086181640625,529.9369506835938,532.8505859375,533.7305908203125,533.7888793945312,533.7967529296875,533.802490234375,533.8062133789062,533.8087768554688,533.8106079101562,533.8118286132812,533.8125610351562,533.8131103515625,533.8134155273438,533.8136596679688,533.8137817382812,533.8138427734375,533.8140258789062,533.8140258789062,533.8140869140625,533.8140869140625,533.8140869140625,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.919677734375,530.3428955078125,531.8136596679688,532.0988159179688,530.9628295898438,530.480712890625,530.3431396484375,529.7644653320312,529.8515625,529.25830078125,529.4931030273438,530.0384521484375,529.9095458984375,528.990478515625,528.48046875,528.0267333984375,528.1535034179688,528.5401611328125
16.0,0.48663239555933446,0.0002757896963197539,2.0,4.0,64.0,6.514992664636458e-05,523.1895751953125,465.6019287109375,461.1470336914063,458.9710693359375,457.5865173339844,456.57958984375,455.7103271484375,455.365478515625,454.9067993164063,454.5609130859375,454.3204345703125,454.1905517578125,453.9223937988281,453.8697509765625,453.6049499511719,453.53424072265625,453.3523864746094,453.254638671875,453.1870422363281,453.0668029785156,452.9381713867188,452.8424682617188,452.8269348144531,452.7354431152344,452.6249084472656,452.4967346191406,452.391357421875,452.3064270019531,452.2221984863281,452.1642456054688,452.0894775390625,452.0665893554688,452.01849365234375,451.9518737792969,451.9111328125,451.9486389160156,451.8343505859375,451.9013977050781,451.8847351074219,451.7667236328125,451.79248046875,451.8103942871094,451.7293701171875,451.90960693359375,451.81292724609375,451.6927490234375,451.6742248535156,451.6851196289063,451.6960144042969,451.7164001464844,451.68304443359375,451.7017517089844,451.7198791503906,451.60491943359375,451.6355590820313,451.6092834472656,451.6039733886719,451.6124877929688,451.587890625,452.80072021484375,451.9328918457031,451.8054809570313,451.693115234375,451.623291015625,451.4983520507813,451.5491333007813,451.4926452636719,451.4931335449219,451.41448974609375,451.4015197753906,451.3786926269531,451.406494140625,451.3065490722656,451.8082885742188,451.5600891113281,451.4720458984375,451.25335693359375,451.2486877441406,451.1603088378906,451.2309265136719,451.1261596679688,451.1575927734375,451.0646362304688,451.04205322265625,451.0907287597656,451.010009765625,450.9941711425781,451.0408325195313,450.9382934570313,450.9221496582031,450.8731689453125,450.9383544921875,450.9104919433594,450.80126953125,450.88812255859375,450.8148498535156,450.9162292480469,450.8140869140625,450.8434143066406,450.7581481933594
32.0,0.17220848506100134,4.2292995964191484e-05,3.0,2.0,64.0,7.199897352427407e-06,543.986328125,484.3172302246094,472.08544921875,467.3790893554688,464.5421142578125,462.6229553222656,461.0924072265625,459.9293212890625,458.9263305664063,458.1259460449219,457.5037536621094,456.9744262695313,456.56201171875,456.11279296875,455.6906433105469,455.2857666015625,454.9688415527344,454.6625671386719,454.3854370117188,454.159912109375,453.93212890625,453.7066345214844,453.50775146484375,453.2892761230469,453.0511474609375,452.8434143066406,452.6412048339844,452.4448852539063,452.284912109375,452.12896728515625,451.9448852539063,451.7629699707031,451.5946350097656,451.4705200195313,451.3373718261719,451.1973571777344,451.09423828125,450.9789123535156,450.8700866699219,450.7945556640625,450.7234497070313,450.6249694824219,450.5560302734375,450.4657897949219,450.40423583984375,450.3111877441406,450.2561645507813,450.19049072265625,450.099609375,450.0454711914063,449.9669189453125,449.9156799316406,449.85540771484375,449.7804870605469,449.7159729003906,449.6690368652344,449.6071166992188,449.5384826660156,449.4732666015625,449.4250793457031,449.36724853515625,449.3004150390625,449.241455078125,449.19281005859375,449.1324462890625,449.0719299316406,449.0299987792969,448.99456787109375,448.9350280761719,448.9129943847656,448.8551940917969,448.8220825195313,448.7955322265625,448.7474365234375,448.6883850097656,448.640625,448.5861511230469,448.5549621582031,448.5290832519531,448.4962768554688,448.4622497558594,448.4344482421875,448.4108276367188,448.3884887695313,448.3302307128906,448.2855529785156,448.2597961425781,448.1928405761719,448.1520080566406,448.11328125,448.0644836425781,448.0423889160156,447.9775695800781,447.9261474609375,447.8855590820313,447.8468017578125,447.7969665527344,447.7817993164063,447.7105712890625,447.6683349609375
32.0,0.17220848506100134,4.2292995964191484e-05,3.0,2.0,64.0,7.199897352427407e-06,543.924560546875,484.4858093261719,472.4453125,467.6968688964844,464.5455932617188,462.4189147949219,460.9248352050781,459.8273620605469,459.1495971679688,458.5357666015625,457.8385620117188,457.1944885253906,456.6016540527344,456.0880126953125,455.6561584472656,455.2838134765625,454.9399719238281,454.6458435058594,454.4171447753906,454.16351318359375,453.95068359375,453.7326354980469,453.5518493652344,453.3253479003906,453.1072082519531,452.9202270507813,452.6976013183594,452.4798278808594,452.2865295410156,452.1010437011719,451.9320068359375,451.7625732421875,451.601806640625,451.4671630859375,451.31097412109375,451.1797180175781,451.0439147949219,450.9300842285156,450.8036804199219,450.7164001464844,450.6355285644531,450.5636901855469,450.4707946777344,450.3747253417969,450.2989501953125,450.207763671875,450.1418151855469,450.0538330078125,449.98236083984375,449.9377746582031,449.8430786132813,449.8026428222656,449.7380676269531,449.6656494140625,449.6233520507813,449.5637512207031,449.49072265625,449.4432373046875,449.3914489746094,449.3179931640625,449.2633056640625,449.2296447753906,449.2498474121094,449.2266540527344,449.2027282714844,449.1678466796875,449.1396789550781,449.1187133789063,449.0804138183594,449.0536804199219,449.011962890625,448.9696044921875,448.9352722167969,448.90521240234375,448.8738098144531,448.8218688964844,448.7936706542969,448.7452087402344,448.7306823730469,448.6954345703125,448.6475524902344,448.59857177734375,448.56103515625,448.5350341796875,448.49114990234375,448.4351196289063,448.39984130859375,448.3517150878906,448.3134765625,448.268798828125,448.2159118652344,544.0313720703125,484.3862915039063,472.2203979492188,467.4849243164063,464.6886901855469,462.955078125,461.4245910644531,460.1277160644531,459.11468505859375
16.0,0.2512797816912752,0.000231698989880354,4.0,2.0,32.0,0.012474131997736414,529.5801391601562,515.1585083007812,532.8550415039062,533.7657470703125,533.7866821289062,533.7973022460938,533.8032836914062,533.8065795898438,533.8085327148438,533.8099975585938,533.8108520507812,533.8110961914062,533.811767578125,533.8120727539062,533.8123168945312,533.8128051757812,533.8131713867188,533.8133544921875,533.8135375976562,533.8135986328125,533.8136596679688,533.8137817382812,533.8137817382812,533.8137817382812,533.8138427734375,533.8138427734375,533.8138427734375,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.8139038085938,533.81396484375,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140258789062,533.8140869140625,533.8140869140625,533.8140258789062,533.8140869140625,533.8140869140625,533.8140869140625,533.8140869140625,533.8140869140625,533.8140869140625,533.8140869140625,533.8140869140625,533.8140869140625,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8140869140625,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.8141479492188,533.814208984375
128.0,0.3446178214526,0.0007846810243695942,0.0,4.0,8.0,0.000939991442039807,485.8270263671875,462.9054260253906,461.962158203125,461.6065673828125,461.4525451660156,461.2485656738281,461.4564514160156,461.6393127441406,461.3644104003906,461.18560791015625,460.7484436035156,460.4299621582031,460.0929565429688,459.8067932128906,459.8242492675781,459.7052307128906,459.651123046875,459.74462890625,459.6298828125,459.6234130859375,459.7018432617188,459.76068115234375,459.8182678222656,459.825439453125,459.84808349609375,459.82171630859375,459.9400024414063,459.8558349609375,459.943359375,459.8890686035156,459.87786865234375,459.86663818359375,459.8494262695313,459.8544921875,459.8760681152344,459.8842468261719,459.8846435546875,459.9615173339844,460.0474548339844,460.0927734375,460.0423889160156,460.0234069824219,460.0675048828125,459.9939270019531,460.0207214355469,460.0292663574219,460.0072937011719,460.0201110839844,460.0830383300781,485.4840087890625,463.1102294921875,461.8452453613281,461.2462768554688,461.09271240234375,460.9682312011719,460.9947509765625,460.6251220703125,460.5375061035156,460.4242858886719,460.1181945800781,460.1152038574219,460.40716552734375,460.4021911621094,460.3130798339844,460.1499938964844,460.0924682617188,459.9490356445313,459.8701171875,459.7264099121094,459.8195190429688,459.9178771972656,460.1220397949219,460.1733703613281,460.2864379882813,460.2804260253906,460.1814270019531,460.1389465332031,460.071533203125,460.092041015625,460.1698913574219,460.1302795410156,460.0933227539063,460.0051574707031,459.9520263671875,459.9253234863281,459.8869934082031,459.7742004394531,459.77532958984375,459.7974548339844,459.7156372070313,459.6604919433594,459.7658081054688,459.8252258300781,459.88568115234375,459.8659973144531,459.7614135742188,459.7112121582031,459.7085571289063,459.6659851074219,459.7173461914063
8.0,0.48724756904362987,4.342106161139214e-06,2.0,1.0,8.0,1.8978698745614277e-05,859.28271484375,732.19287109375,676.9533081054688,645.68310546875,624.71142578125,609.35986328125,597.3140869140625,587.670654296875,579.5953979492188,572.69482421875,566.7783813476562,561.5744018554688,557.0256958007812,552.9667358398438,549.3313598632812,546.0492553710938,543.084716796875,540.340087890625,537.8323974609375,535.4892578125,533.2949829101562,531.2000122070312,529.1463012695312,527.1524047851562,525.1307373046875,523.0955200195312,521.0336303710938,518.9061889648438,516.7327880859375,514.5362548828125,512.2705078125,510.1226501464844,508.0401916503906,506.0530395507813,504.2526550292969,502.6036071777344,501.0936279296875,499.7322692871094,498.5078125,497.3539123535156,496.3148498535156,495.3537902832031,494.4982299804688,493.7130126953125,492.9631958007813,492.26556396484375,491.6072387695313,491.0052795410156,490.4013977050781,489.8242492675781,859.2734985351562,732.2072143554688,676.9490966796875,645.7006225585938,624.7249755859375,609.357666015625,597.3148193359375,587.6751098632812,579.5939331054688,572.6963500976562,566.7750244140625,561.5724487304688,557.0241088867188,552.9647827148438,549.3291015625,546.0488891601562,543.0822143554688,540.3370971679688,537.8246459960938,535.4834594726562,533.2854614257812,531.1908569335938,529.1384887695312,527.1436157226562,525.1178588867188,523.0847778320312,521.0191040039062,518.9047241210938,516.7267456054688,514.5350341796875,512.2730102539062,859.239501953125,732.1665649414062,676.938232421875,645.6870727539062,624.7086791992188,609.3684692382812,597.3135375976562,587.6864013671875,579.5982666015625,572.6982421875,566.7734985351562,561.5753784179688,557.0203857421875,552.968017578125,549.3336181640625,546.0484619140625,543.083251953125,540.3422241210938,537.831787109375
8.0,0.4144659702727886,0.00017854650465593393,3.0,1.0,128.0,0.00019282738936186977,529.3955078125,468.0523071289063,461.3511352539063,458.7204284667969,457.27630615234375,456.4680480957031,455.8550720214844,455.3023986816406,454.90283203125,454.6530151367188,454.41064453125,454.2693481445313,454.0849609375,453.9762268066406,453.8397521972656,453.7726745605469,453.7190856933594,453.7010803222656,453.7654113769531,453.7278442382813,453.7671508789063,453.7277526855469,453.7824096679688,453.8097229003906,453.78460693359375,453.8245239257813,453.8183898925781,453.90179443359375,453.8963317871094,453.9398498535156,454.0047302246094,454.023681640625,453.9698486328125,454.020751953125,454.0473937988281,454.0730895996094,454.0400085449219,454.1047668457031,454.1424865722656,454.1587219238281,454.1100463867188,454.1419677734375,454.17376708984375,454.19183349609375,454.1913146972656,454.1612854003906,454.2268371582031,454.2188720703125,454.2127990722656,454.2198791503906,454.2347106933594,454.2072143554688,454.2361450195313,454.1883850097656,454.2062377929688,454.2038879394531,454.1873168945313,454.15667724609375,454.2044067382813,454.1106262207031,454.1080017089844,454.1029052734375,454.1144714355469,454.0387878417969,454.0698547363281,454.0717468261719,454.0944519042969,454.0152893066406,454.013916015625,454.0610656738281,453.9842529296875,454.0251159667969,454.03717041015625,454.02728271484375,454.01751708984375,454.0108337402344,454.0451965332031,454.04876708984375,453.976318359375,454.028076171875,454.0545349121094,453.990478515625,454.0151977539063,454.051513671875,454.0360107421875,454.04583740234375,454.0633850097656,454.0766906738281,454.0136413574219,454.098388671875,454.0068664550781,454.065185546875,454.03369140625,454.0946044921875,454.0706481933594,454.0621643066406,454.0664367675781,454.0550537109375,454.1308288574219,454.073974609375
32.0,0.08836687113013486,0.0002765218066944682,1.0,3.0,32.0,0.0012216568579025853,483.3787231445313,460.344970703125,458.5039978027344,457.9508361816406,457.8243103027344,458.3864440917969,457.8322448730469,457.832763671875,458.0482482910156,458.1809997558594,458.2720031738281,458.3238830566406,458.40228271484375,458.4692077636719,458.5105285644531,458.5610046386719,458.5733947753906,458.6808471679688,458.7839965820313,458.8837890625,458.908447265625,458.9648132324219,459.335205078125,459.4450073242188,459.3023986816406,459.3589477539063,459.1733703613281,459.5003967285156,459.3952941894531,459.3653564453125,459.6690368652344,459.851318359375,459.9031982421875,460.0570373535156,459.7459716796875,459.8041687011719,459.97113037109375,460.060546875,459.9068908691406,459.84613037109375,459.7524108886719,459.8140258789063,459.7659912109375,459.8322448730469,459.8573303222656,459.986328125,459.986083984375,460.029052734375,459.8343200683594,459.8291320800781,459.8263854980469,460.0733947753906,460.0637512207031,460.1593322753906,460.2161865234375,460.2556457519531,460.2874755859375,460.23052978515625,460.2389526367188,460.3810729980469,460.1793518066406,460.2697448730469,460.5220947265625,460.4852294921875,460.5064697265625,460.9755554199219,460.9014892578125,460.8040466308594,460.7623596191406,460.7668151855469,460.7638854980469,460.7983093261719,460.8273620605469,460.8503112792969,461.0212707519531,461.0972900390625,461.1391906738281,461.1823120117188,461.2331237792969,461.2583618164063,461.1900939941406,461.1796875,461.3147888183594,461.4255065917969,461.5818481445313,461.1407470703125,461.1311950683594,461.1198120117188,461.0743103027344,461.2144775390625,461.2101745605469,461.3333740234375,461.6611328125,461.6872863769531,461.6282348632813,461.7913513183594,461.8453674316406,461.9506530761719,461.9094543457031,461.7776489257813
